Parent,Child,Relationship,Sub_type
506184,17775115,Nursing Home Pharmacy,PURCHASING
549470,18021446,Nursing Home Pharmacy,PURCHASING
744592,17775563,Nursing Home Pharmacy,PURCHASING
961001,17817637,Nursing Home Pharmacy,PURCHASING
1561540,17774730,Nursing Home Pharmacy,PURCHASING
2406421,18005873,Department,DEPARTMENT
2406421,18072210,Department,DEPARTMENT
2406421,18286128,Department,DEPARTMENT
2406421,19531632,Department,DEPARTMENT
5170664,18320600,Department,DEPARTMENT
5171078,17841955,Department,DEPARTMENT
5171078,18242883,Department,DEPARTMENT
5171078,18255978,Department,DEPARTMENT
5171078,21471096,Department,DEPARTMENT
5171078,22223548,Department,DEPARTMENT
5171078,22239946,Department,DEPARTMENT
6031375,17891637,Department,DEPARTMENT
6031375,18368801,Department,DEPARTMENT
6031375,19529353,Department,DEPARTMENT
6031375,19531001,Department,DEPARTMENT
6031375,19531386,Department,DEPARTMENT
6133701,17788806,Department,DEPARTMENT
6133701,17809273,Department,DEPARTMENT
6133701,17817636,Department,DEPARTMENT
6133701,18084207,Department,DEPARTMENT
6133701,18218885,Department,DEPARTMENT
6133701,19531227,Department,DEPARTMENT
6133701,22218955,Department,DEPARTMENT
17773293,2832635,Owned,OWNERSHIP
17773293,17790406,Owned,OWNERSHIP
17773293,17799470,Owned,OWNERSHIP
17773293,17806720,Owned,OWNERSHIP
17773293,17817248,Owned,OWNERSHIP
17773293,17841955,Owned,OWNERSHIP
17773293,17843466,Owned,OWNERSHIP
17773293,17872659,Owned,OWNERSHIP
17773293,18023513,Owned,OWNERSHIP
17773293,18057300,Owned,OWNERSHIP
17773293,18072210,Owned,OWNERSHIP
17773293,18075609,Owned,OWNERSHIP
17773293,18076661,Owned,OWNERSHIP
17773293,18077165,Owned,OWNERSHIP
17773293,18085385,Owned,OWNERSHIP
17773293,18155105,Owned,OWNERSHIP
17773293,18156023,Owned,OWNERSHIP
17773293,18157585,Owned,OWNERSHIP
17773293,18158861,Owned,OWNERSHIP
17773293,18161596,Owned,OWNERSHIP
17773293,18167560,Owned,OWNERSHIP
17773293,18188356,Owned,OWNERSHIP
17773293,18190502,Owned,OWNERSHIP
17773293,18193570,Owned,OWNERSHIP
17773293,18245257,Owned,OWNERSHIP
17773293,18252565,Owned,OWNERSHIP
17773293,18253301,Owned,OWNERSHIP
17773293,18278614,Owned,OWNERSHIP
17773293,18286128,Owned,OWNERSHIP
17773293,18291127,Owned,OWNERSHIP
17773293,18298146,Owned,OWNERSHIP
17773293,18313198,Owned,OWNERSHIP
17773293,18316450,Owned,OWNERSHIP
17773293,18339756,Owned,OWNERSHIP
17773293,18348946,Owned,OWNERSHIP
17773293,18350166,Owned,OWNERSHIP
17773293,18372647,Owned,OWNERSHIP
17773293,18381542,Owned,OWNERSHIP
17773293,18389070,Owned,OWNERSHIP
17773293,18397547,Owned,OWNERSHIP
17773293,18402213,Owned,OWNERSHIP
17773293,18408254,Owned,OWNERSHIP
17773293,18956788,Owned,OWNERSHIP
17773293,18957926,Owned,OWNERSHIP
17773293,18997626,Owned,OWNERSHIP
17773293,19370253,Owned,OWNERSHIP
17773293,19521179,Owned,OWNERSHIP
17773293,19529353,Owned,OWNERSHIP
17773293,19531990,Owned,OWNERSHIP
17773293,20760640,Owned,OWNERSHIP
17773293,21471096,Owned,OWNERSHIP
17773293,21481577,Owned,OWNERSHIP
17773293,22218945,Owned,OWNERSHIP
17773619,706391,Medsurg Purchasing,PURCHASING
17773619,706391,Pharma Purchasing,PURCHASING
17773619,995257,Medsurg Purchasing,PURCHASING
17773619,1466750,Medsurg Purchasing,PURCHASING
17773619,1466750,Pharma Purchasing,PURCHASING
17773619,1477759,Pharma Purchasing,PURCHASING
17773619,1881707,Medsurg Purchasing,PURCHASING
17773619,1881707,Pharma Purchasing,PURCHASING
17773619,1900485,Pharma Purchasing,PURCHASING
17773619,2175945,Medsurg Purchasing,PURCHASING
17773619,2175945,Pharma Purchasing,PURCHASING
17773619,2293895,Medsurg Purchasing,PURCHASING
17773619,2293895,Pharma Purchasing,PURCHASING
17773619,2297739,Medsurg Purchasing,PURCHASING
17773619,2323594,Medsurg Purchasing,PURCHASING
17773619,2323594,Pharma Purchasing,PURCHASING
17773619,2406421,Pharma Purchasing,PURCHASING
17773619,2699228,Medsurg Purchasing,PURCHASING
17773619,2832635,Medsurg Purchasing,PURCHASING
17773619,2856002,Medsurg Purchasing,PURCHASING
17773619,2856002,Pharma Purchasing,PURCHASING
17773619,2885658,Medsurg Purchasing,PURCHASING
17773619,2885658,Pharma Purchasing,PURCHASING
17773619,5170664,Medsurg Purchasing,PURCHASING
17773619,5171078,Pharma Purchasing,PURCHASING
17773619,5789608,Medsurg Purchasing,PURCHASING
17773619,6133701,Pharma Purchasing,PURCHASING
17773619,15235227,Pharma Purchasing,PURCHASING
17773619,17773686,Medsurg Purchasing,PURCHASING
17773619,17773686,Pharma Purchasing,PURCHASING
17773619,17773687,Medsurg Purchasing,PURCHASING
17773619,17773840,Medsurg Purchasing,PURCHASING
17773619,17773840,Pharma Purchasing,PURCHASING
17773619,17774625,Medsurg Purchasing,PURCHASING
17773619,17776355,Medsurg Purchasing,PURCHASING
17773619,17776356,Medsurg Purchasing,PURCHASING
17773619,17778600,Medsurg Purchasing,PURCHASING
17773619,17780090,Medsurg Purchasing,PURCHASING
17773619,17780090,Pharma Purchasing,PURCHASING
17773619,17784292,Medsurg Purchasing,PURCHASING
17773619,17784292,Pharma Purchasing,PURCHASING
17773619,17784360,Medsurg Purchasing,PURCHASING
17773619,17785768,Medsurg Purchasing,PURCHASING
17773619,17786083,Pharma Purchasing,PURCHASING
17773619,17786374,Pharma Purchasing,PURCHASING
17773619,17786600,Pharma Purchasing,PURCHASING
17773619,17787687,Pharma Purchasing,PURCHASING
17773619,17788039,Medsurg Purchasing,PURCHASING
17773619,17788039,Pharma Purchasing,PURCHASING
17773619,17788806,Medsurg Purchasing,PURCHASING
17773619,17790406,Medsurg Purchasing,PURCHASING
17773619,17799470,Pharma Purchasing,PURCHASING
17773619,17799791,Pharma Purchasing,PURCHASING
17773619,17799853,Pharma Purchasing,PURCHASING
17773619,17803009,Pharma Purchasing,PURCHASING
17773619,17806720,Medsurg Purchasing,PURCHASING
17773619,17806720,Pharma Purchasing,PURCHASING
17773619,17809273,Pharma Purchasing,PURCHASING
17773619,17812965,Pharma Purchasing,PURCHASING
17773619,17813699,Medsurg Purchasing,PURCHASING
17773619,17813699,Pharma Purchasing,PURCHASING
17773619,17814454,Medsurg Purchasing,PURCHASING
17773619,17814454,Pharma Purchasing,PURCHASING
17773619,17815648,Medsurg Purchasing,PURCHASING
17773619,17817248,Medsurg Purchasing,PURCHASING
17773619,17817609,Medsurg Purchasing,PURCHASING
17773619,17817609,Pharma Purchasing,PURCHASING
17773619,17817636,Pharma Purchasing,PURCHASING
17773619,17818224,Medsurg Purchasing,PURCHASING
17773619,17818226,Pharma Purchasing,PURCHASING
17773619,17818228,Pharma Purchasing,PURCHASING
17773619,17823986,Pharma Purchasing,PURCHASING
17773619,17837166,Medsurg Purchasing,PURCHASING
17773619,17837166,Pharma Purchasing,PURCHASING
17773619,17841955,Medsurg Purchasing,PURCHASING
17773619,17843466,Medsurg Purchasing,PURCHASING
17773619,17844129,Medsurg Purchasing,PURCHASING
17773619,17844141,Pharma Purchasing,PURCHASING
17773619,17845724,Pharma Purchasing,PURCHASING
17773619,17846109,Pharma Purchasing,PURCHASING
17773619,17846622,Pharma Purchasing,PURCHASING
17773619,17847831,Pharma Purchasing,PURCHASING
17773619,17847914,Medsurg Purchasing,PURCHASING
17773619,17847914,Pharma Purchasing,PURCHASING
17773619,17848364,Medsurg Purchasing,PURCHASING
17773619,17852220,Medsurg Purchasing,PURCHASING
17773619,17853761,Pharma Purchasing,PURCHASING
17773619,17857536,Medsurg Purchasing,PURCHASING
17773619,17857536,Pharma Purchasing,PURCHASING
17773619,17864606,Medsurg Purchasing,PURCHASING
17773619,17869221,Medsurg Purchasing,PURCHASING
17773619,17869221,Pharma Purchasing,PURCHASING
17773619,17869776,Medsurg Purchasing,PURCHASING
17773619,17869776,Pharma Purchasing,PURCHASING
17773619,17873385,Pharma Purchasing,PURCHASING
17773619,17891637,Pharma Purchasing,PURCHASING
17773619,17900496,Pharma Purchasing,PURCHASING
17773619,17905423,Medsurg Purchasing,PURCHASING
17773619,17905423,Pharma Purchasing,PURCHASING
17773619,17906606,Medsurg Purchasing,PURCHASING
17773619,17906606,Pharma Purchasing,PURCHASING
17773619,17918373,Medsurg Purchasing,PURCHASING
17773619,17996915,Medsurg Purchasing,PURCHASING
17773619,17996915,Pharma Purchasing,PURCHASING
17773619,18000236,Pharma Purchasing,PURCHASING
17773619,18002314,Medsurg Purchasing,PURCHASING
17773619,18002314,Pharma Purchasing,PURCHASING
17773619,18002946,Medsurg Purchasing,PURCHASING
17773619,18002946,Pharma Purchasing,PURCHASING
17773619,18013891,Medsurg Purchasing,PURCHASING
17773619,18017489,Pharma Purchasing,PURCHASING
17773619,18018637,Medsurg Purchasing,PURCHASING
17773619,18018638,Pharma Purchasing,PURCHASING
17773619,18021446,Medsurg Purchasing,PURCHASING
17773619,18023513,Medsurg Purchasing,PURCHASING
17773619,18024148,Medsurg Purchasing,PURCHASING
17773619,18024307,Pharma Purchasing,PURCHASING
17773619,18025522,Medsurg Purchasing,PURCHASING
17773619,18025522,Pharma Purchasing,PURCHASING
17773619,18025699,Medsurg Purchasing,PURCHASING
17773619,18054279,Medsurg Purchasing,PURCHASING
17773619,18054279,Pharma Purchasing,PURCHASING
17773619,18056434,Pharma Purchasing,PURCHASING
17773619,18057300,Medsurg Purchasing,PURCHASING
17773619,18057300,Pharma Purchasing,PURCHASING
17773619,18057785,Medsurg Purchasing,PURCHASING
17773619,18062743,Medsurg Purchasing,PURCHASING
17773619,18062743,Pharma Purchasing,PURCHASING
17773619,18067556,Medsurg Purchasing,PURCHASING
17773619,18068819,Medsurg Purchasing,PURCHASING
17773619,18068819,Pharma Purchasing,PURCHASING
17773619,18069041,Pharma Purchasing,PURCHASING
17773619,18069370,Pharma Purchasing,PURCHASING
17773619,18072210,Medsurg Purchasing,PURCHASING
17773619,18072210,Pharma Purchasing,PURCHASING
17773619,18072692,Pharma Purchasing,PURCHASING
17773619,18075609,Pharma Purchasing,PURCHASING
17773619,18076217,Medsurg Purchasing,PURCHASING
17773619,18076661,Medsurg Purchasing,PURCHASING
17773619,18076661,Pharma Purchasing,PURCHASING
17773619,18077161,Medsurg Purchasing,PURCHASING
17773619,18077161,Pharma Purchasing,PURCHASING
17773619,18077165,Medsurg Purchasing,PURCHASING
17773619,18077165,Pharma Purchasing,PURCHASING
17773619,18082563,Medsurg Purchasing,PURCHASING
17773619,18082563,Pharma Purchasing,PURCHASING
17773619,18084207,Medsurg Purchasing,PURCHASING
17773619,18084420,Medsurg Purchasing,PURCHASING
17773619,18084420,Pharma Purchasing,PURCHASING
17773619,18085385,Medsurg Purchasing,PURCHASING
17773619,18085517,Pharma Purchasing,PURCHASING
17773619,18100804,Medsurg Purchasing,PURCHASING
17773619,18100804,Pharma Purchasing,PURCHASING
17773619,18104856,Medsurg Purchasing,PURCHASING
17773619,18104856,Pharma Purchasing,PURCHASING
17773619,18105204,Medsurg Purchasing,PURCHASING
17773619,18105204,Pharma Purchasing,PURCHASING
17773619,18112858,Medsurg Purchasing,PURCHASING
17773619,18115001,Medsurg Purchasing,PURCHASING
17773619,18125824,Medsurg Purchasing,PURCHASING
17773619,18127025,Medsurg Purchasing,PURCHASING
17773619,18131468,Medsurg Purchasing,PURCHASING
17773619,18137992,Medsurg Purchasing,PURCHASING
17773619,18140472,Medsurg Purchasing,PURCHASING
17773619,18140472,Pharma Purchasing,PURCHASING
17773619,18150058,Pharma Purchasing,PURCHASING
17773619,18154053,Pharma Purchasing,PURCHASING
17773619,18155105,Medsurg Purchasing,PURCHASING
17773619,18155105,Pharma Purchasing,PURCHASING
17773619,18155132,Medsurg Purchasing,PURCHASING
17773619,18155132,Pharma Purchasing,PURCHASING
17773619,18156021,Medsurg Purchasing,PURCHASING
17773619,18156851,Pharma Purchasing,PURCHASING
